available_recall,eval_date,matched_cases_recalled,paper_id,pool_available_cases,raw_recall,selected_candidates,threshold
0.0,2026-02-06,0,29,0,0.0,56,1.427890924249595e-32
0.0,2026-02-06,0,29,0,0.0,64,7.932727356942192e-33
0.0,2026-02-06,0,29,0,0.0,191,0.0
0.0,2024-12-01,0,30,0,0.0,1,0.003516798186868399
0.0,2024-12-01,0,30,0,0.0,2,0.0027263424173835705
0.0,2024-12-01,0,30,0,0.0,3,0.0023632989872830715
0.0,2024-12-01,0,30,0,0.0,4,0.0016547805690162016
0.0,2024-12-01,0,30,0,0.0,5,0.0015758502156189942
0.0,2024-12-01,0,30,0,0.0,6,0.0015577223836071364
0.0,2024-12-01,0,30,0,0.0,7,0.0011866612732398746
0.0,2024-12-01,0,30,0,0.0,8,0.0011293314408320262
0.0,2024-12-01,0,30,0,0.0,9,0.0008747415136820798
0.0,2024-12-01,0,30,0,0.0,10,0.000862871907589203
0.0,2024-12-01,0,30,0,0.0,11,0.0005828396972556315
0.0,2024-12-01,0,30,0,0.0,12,0.0005763222041171813
0.0,2024-12-01,0,30,0,0.0,15,0.0005504792983272024
0.0,2024-12-01,0,30,0,0.0,16,0.0005303664170540108
0.0,2024-12-01,0,30,0,0.0,17,0.0004983300665728685
0.0,2024-12-01,0,30,0,0.0,18,0.0004980393358466211
0.0,2024-12-01,0,30,0,0.0,25,0.0004901876093026575
0.0,2024-12-01,0,30,0,0.0,26,7.386392159895067e-05
0.0,2024-12-01,0,30,0,0.0,27,6.931647425661369e-05
0.0,2024-12-01,0,30,0,0.0,28,5.057498736784894e-05
0.0,2024-12-01,0,30,0,0.0,29,4.418408394356384e-05
0.0,2024-12-01,0,30,0,0.0,30,4.021212547239263e-05
0.0,2024-12-01,0,30,0,0.0,31,3.81401420788467e-05
0.0,2024-12-01,0,30,0,0.0,32,3.7771663009032476e-05
0.0,2024-12-01,0,30,0,0.0,33,3.236039892842911e-05
0.0,2024-12-01,0,30,0,0.0,34,2.3155547583568744e-05
0.0,2024-12-01,0,30,0,0.0,35,2.311897260167036e-05
